Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
0,3,-0.5657364610748746,0.4327933656785018,-0.4736736092984604,-0.700835732641797,0.059159876663617626,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,0.6638610320657843,0.4327933656785018,-0.4736736092984604,1.491433928081396,0.059159876663617626,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3,-0.2583370877897099,-0.47454519624983954,-0.4736736092984604,-0.6777261627619351,-0.5609748304808925,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,1,0.4333115021019107,0.4327933656785018,-0.4736736092984604,0.8689031991977054,0.059159876663617626,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,3,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,-0.6734466127841829,-0.5609748304808925,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,3,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.6594678907368532,-0.5609748304808925,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1,1.893458525206443,-0.47454519624983954,-0.4736736092984604,0.8265356544179586,-0.5609748304808925,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,3,-2.1027333275006983,2.2474704895351842,0.7676298785983874,-0.22751750510240507,1.9195639980971482,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,3,-0.1814872444684187,-0.47454519624983954,2.0089333664952354,-0.5678855212129564,0.6792945838081278,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,2,-1.180535207645204,0.4327933656785018,-0.4736736092984604,0.08046630041649992,0.059159876663617626,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3,-1.949033640858116,0.4327933656785018,0.7676298785983874,-0.37730175432373164,0.6792945838081278,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,1,2.200857898491608,-0.47454519624983954,-0.4736736092984604,-0.04007321607685921,-0.5609748304808925,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,3,-0.719436147717457,-0.47454519624983954,-0.4736736092984604,-0.6734466127841829,-0.5609748304808925,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,3,0.7407108753870755,0.4327933656785018,5.73284383018578,0.1216937730821734,3.1598334123861687,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,3,-1.180535207645204,-0.47454519624983954,-0.4736736092984604,-0.6801500998693341,-0.5609748304808925,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,2,1.9703083685277343,-0.47454519624983954,-0.4736736092984604,-0.40126723419914384,-0.5609748304808925,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,3,-2.1027333275006983,3.1548090514635256,0.7676298785983874,0.048085513464835826,2.5396987052416584,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5039764336651963,-0.5609748304808925,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,3,0.12591212881674602,0.4327933656785018,-0.4736736092984604,-0.3327944345551089,0.059159876663617626,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,3,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.7016916426373474,-0.5609748304808925,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
